"alpha_abs_bias","alpha_sd_abs_bias","beta_abs_bias","beta_sd_abs_bias"
0.00206479350222469,0.0144412803495379,0.402457012019401,0.0545755364276506
0.00448714657468305,0.0162109657145723,0.433850386723688,0.0645929140011517
0.0396967468232562,0.0189297027745469,0.25475362401962,0.0642333720750945
0.00769852915613961,0.0192580129767362,0.463534303803942,0.0744248607363196
0.0139490540734413,0.0138807199876566,0.322038222542911,0.0569816665375285
0.0178089430146843,0.0160506253174091,0.321025949985093,0.0552747476396565
0.0141394271011804,0.019207582437462,0.376922626210592,0.067738102105101
0.0205240263870579,0.019334863404133,0.311043565781639,0.0637054077152894
0.00996918599031413,0.0186610157794533,0.452053767261514,0.0657305875783601
0.0162497732810563,0.0163546467820394,0.397617632506261,0.0759969492465978
0.00932111544012507,0.0182162482089725,0.316821928074742,0.0631497164014459
0.0186283381434746,0.0187721727882756,0.385896924000909,0.0601028582864493
0.0133938703222662,0.0187267547763539,0.371219549993967,0.0640595719626383
0.00502132867374219,0.018131028245849,0.307126408298028,0.0703424796867094
0.00926673860564206,0.0193462410578218,0.37792777818616,0.0641831971596225
0.0372278732092506,0.0208065161488727,0.295778258771982,0.065273143204168
0.0203538413410817,0.0208311287289003,0.299377559012831,0.0654391765747386
0.00851456125720296,0.0193150184802507,0.283385195449991,0.0718955415053079
0.011248249449225,0.019346663566855,0.395445934115743,0.0689757057375411
0.029470518864565,0.0194485053966101,0.347969178276742,0.0615527018442632
